vorname;nachname;email;website;city
;;info@zainkoeln.de;http://www.zainkoeln.de;Köln
;;praxis@josuweck-weiler.de;http://www.josuweck-weiler.de;Köln
;;info@zahn-jb.de;http://www.zahn-jb.de;Köln
;;info@dr-coeln.de;http://www.dr-coeln.de;Köln
;;praxis-dr-g-dahm@netcologne.de;https://www.greven.de/;Köln
;;info@fzkfo.de;http://www.fzkfo.de;Köln
;;praxis@dr-hoerschler.de;http://www.dr-hoerschler.de;Köln
;;dr.slaux@hotmail.de;https://www.docinsider.de/susanne-laux;Köln
;;info@dr-ralph-schloesser.de;http://www.dr-ralph-schloesser.de;Köln
;;praxis@zahnarzt-wegener.de;http://www.zahnarzt-wegener.de;Köln
;;info@blendental-zahnarztpraxis.de;http://www.blendental-zahnarztpraxis.de;Köln
;;info@moinmark.de;http://www.moinmark.de;Köln
;;info@zahnaerzte-koeln-friesenplatz.de;http://www.zahnaerzte-koeln-friesenplatz.de;Köln
;;dr.andrea.schindler@gmx.de;http://www.zahnaerztin-schindler.de;Köln
;;info@stephanie-breuer.de;https://stephanie-breuer.de;Köln
;;sven.dullin@t-online.de;https://www.greven.de/;Köln
;;info@zahnarzt-fuchte.de;http://www.zahnarzt-fuchte.de;Köln
;;zahnarztpraxis.dr.sarram@googlemail.com;http://www.sarram.de;Köln
;;Aghili.reza@yahoo.de;http://www.Zahnarzt-Aghili.de;Köln
;;aichingerhochzwei@gmx.de;http://www.koeln-zahnarzt.info;Köln
;;zahnarzt@dr-anschuetz.de;http://www.zahnarzt-porz.koeln;Köln
;;info@zahn-kroll-apostologlou.de;https://www.zahn-kroll-apostologlou.de/;Köln
;;kariesfrei@web.de;http://www.kariesfrei.eu;Köln
;;dr.arnoldy@gmx.net;http://www.ihre-zahnarztpraxis-ist.net;Köln
;;info@implantatcenter-koeln.de;http://www.implantatcenterkoeln.de;Köln
;;service@zahngesundheit-koeln.de;http://www.zahngesundheit-koeln.de;Köln
;;m.bender@zgi-bender.de;http://www.dein-fester-biss.de;Köln
;;info@kfo-bamidis.de;http://www.kfo-bamidis.de;Köln
;;kfo.kram@gmx.de;https://kram-holi-dontics.de;Köln
;;praxis@kfo-kalk.de;http://www.kfo-kalk.de;Köln
;;info@amberger.com;https://www.amberger.com;Essen
;;rgoutkin@t-online.de;http://www.zahnarzt-goutkin.de;Köln
;;dr.klaus@praxis-langenbach.de;http://www.praxis-langenbach.de;Köln
